Company Name,ISIN,Target Qualification,Country,Region,Sector,Status,Date Committed / Target published,About
Australian Ethical Investment,AU000000AEF4,,Australia,Oceania,"Banks, Diverse Financials and Insurance",Committed,Dec 2015,
"Autodesk, Inc.",US0527691069,Well-below 2C,United States of America (USA),North America,Software and Services,Targets Set,Jun 2016,"Multinational software corporation Autodesk commits to reduce total scope 1, 2, and 3 emissions 43% by 2020 and an 85% absolute reduction by 2050 from a 2008 base-year, following its C-FACT methodology."
AXA Group,FR0000120628,,France,Europe,"Banks, Diverse Financials and Insurance",Committed,Jun 2015,
BanColombia SA,COB07PA00078,,Colombia,Latin America,"Banks, Diverse Financials and Insurance",Committed,Nov 2015,
Bank Australia,,,Australia,Oceania,"Banks, Diverse Financials and Insurance",Committed,Nov 2015,
Bank J. Safra Sarasin AG,CH0038389307,,Switzerland,Europe,"Banks, Diverse Financials and Insurance",Committed,Jun 2015,
Ben & Jerry's,US0814651065,1.5C,United States of America (USA),North America,Food and Staples Retailing,Targets Set,Aug 2018,"Vermont-based, Unilever ice cream brand Ben &amp; Jerry’s commits to reduce scope 1 and 2 GHG emissions 100% by 2025 from a 2015 base-year.  The company also commits to reduce value chain GHG emissions (scope 1, 2 and 3) 40% per pint of product sold by 2025 from a 2015 base-year."
BillerudKorsnäs,SE0000862997,1.5C,Sweden,Europe,Containers and Packaging,Targets Set,Nov 2015,BillerudKorsnäs commits to reduce its absolute scope 1 and 2 greenhouse gas emissions 59% by 2030 from a 2016 base year. BillerudKorsnäs also commits to reduce its scope 3 emissions 30% by 2030 from a 2016 base year.
Biogen Inc.,US09062X1037,2C,United States of America (USA),North America,Pharmaceuticals and Biotech,Targets Set,Jun 2017,"American multinational biotechnology company Biogen commits to a 35% reduction of absolute emissions across its entire value chain (scopes 1, 2 and 3) by 2030 from a 2013 base-year.  This science-based target supports Biogen’s ongoing commitment to be a Carbon Neutral company."
BNP Paribas,FR0000131104,,France,Europe,"Banks, Diverse Financials and Insurance",Committed,Apr 2016,
Borregaard AS,NO0010657505,Well-below 2C,Norway,Europe,Chemicals,Targets Set,Jul 2019,"Norwegian biorefinery Borregaard AS commits to reduce absolute scope 1 and 2 GHG emissions 53% by 2030 and 100% by 2050 from a 2009 base year.* Borregaard AS also commits to reduce absolute scope 3 GHG emissions by 30% by 2030 and 75% by 2050 from a 2017 base year.


*The target boundary includes biogenic emissions and removals associated with the use of bioenergy.


&nbsp;"
Brown-Forman Corporation,US1156371007,,United States of America (USA),North America,Food and Beverage Processing,Committed,Jun 2015,
BT plc,GB0030913577,1.5C,United Kingdom (UK),Europe,Telecommunications,Targets Set,Sep 2017,"Multinational communications company BT commits to reduce GHG emissions* by 87% in tons of CO2e per unit of gross value added by 2030 from a 2016/2017 base-year.  This is in line with current international policy and climate science, being BT’s share of the global emissions reductions needed to limit global warming to 1.5°C. The company also commits to reduce supply chain GHG emissions** by 29% over the same time-period.

*Here GHG emissions refer to Scope 1 and 2 emissions, as defined in the Greenhouse Gas Protocol, expressed as tonnes carbon dioxide equivalent (t CO2e) per unit of gross value added (GVA). 

**Supply chain emissions refer to all upstream Scope 3 emissions (categories 1-8), as defined in the Greenhouse Gas Protocol Scope 3 Standard."
Caesars Entertainment,US1276861036,Well-below 2C,United States of America (USA),North America,Hospitality,Targets Set,Jun 2018,American gaming corporation Caesars Entertainment commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2025 and 100% by 2050 from a 2011 base year. Caesars also commits to have 60% of suppliers by spend institute science‐based GHG reduction targets for their operations by 2023.
Capgemini Group,FR0000125338,2C,France,Europe,Software and Services,Targets Set,Sep 2017,"Multinational information technology consulting corporation Capgemini Group commits to reduce absolute scope 1, 2, and 3 GHG 30% by 2030 from a 2015 base-year. This commitment is driven by a target to reduce emissions intensity per employee 30% over the same time-period."
Capgemini UK,,Well-below 2C,United Kingdom (UK),Europe,Software and Services,Targets Set,Nov 2016,"Multinational information technology consulting corporation, Capgemini UK PLC commits to reduce total scope 1, 2, and 3 greenhouse gas emissions by 40% by 2030 from 2014 levels. This commitment is driven by a target to reduce emissions intensity per employee by 40% over the same time period."
Capitas Finance Limited,,,United Kingdom (UK),Europe,"Banks, Diverse Financials and Insurance",Committed,Nov 2016,
Carbon Intelligence,,1.5C,United Kingdom (UK),Europe,Professional Services,Targets Set,Jun 2019,Energy and carbon management company Carbon Intelligence commits to maintain zero absolute Scope 1 and 2 GHG emissions by not consuming fuels and continuing to use electricity from renewable sources through 2030. Carbon Intelligence commits to reduce Scope 3 GHG emissions from purchased goods and services by 65% per million GBP (British pounds) added value and by 40% from business travel per passenger-km by 2030 from a 2017 base year. Carbon Intelligence commits that 30% of its suppliers by spend covering purchased goods &amp; services will set science-based Scope 1 and 2 targets by 2030.
Carrefour,FR0000120172,,France,Europe,Food and Staples Retailing,Committed,Dec 2015,
Castellum AB,SE0000379190,1.5C,Sweden,Europe,Real Estate,Targets Set,Aug 2018,"Property-development and real estate company Castellum commits to reduce absolute scope 1, 2, and 3 GHG emissions 100% by 2030 from a 2017 base-year"
CEWE Stiftung & Co. KGaA,DE0005403901,1.5C,Germany,Europe,Commercial services and supplies,Targets Set,Jul 2017,"European photo service and online printing partner CEWE commits to reduce absolute scope 1 and scope 2 emissions 50% by 2025 from a 2015 base-year. In addition, the company commits to reduce absolute scope 3 emissions 25% within the same timeframe."
"Cisco Systems, Inc.",US17275R1023,Well-below 2C,United States of America (USA),North America,Technology Hardware and Equipment,Targets Set,Sep 2018,"Cisco commits to reduce absolute Scope 1 and 2 GHG emissions 60% by FY2022 from a FY2007 base-year.  Cisco also commits to Improve system power efficiency—as measured from the input from the facility to the board-mounted ASICs, memory and other chip devices—from 77 to 87% by FY2022 for large, rack-mounted equipment.  This efficiency target will result in 13% absolute reductions in GHG emissions from network and facilities equipment operations by FY2022 from a FY2016 base-year."
City Developments Limited (CDL),SG1R89002252,2C,Singapore,Asia,Real Estate,Targets Set,Jul 2018,"Singapore-listed City Developments Limited commits to reduce scope 1 and 2 GHG emissions per square metre of its Singapore operations by 59% by 2030, against a 2007 base year.  For all its development projects, CDL also commits to use sustainable building materials, instead of their conventional equivalents, to reduce embodied carbon by 24% by 2030.  In addition, CDL will engage its subsidiary, Millennium and Copthorne, which contributes close to 90% of emissions from CDL’s key subsidiaries, to set a science-based emissions reduction target by 2025."
CNH Industrial NV,NL0010545661,,United Kingdom (UK),Europe,Electrical Equipment and Machinery,Committed,Jul 2016,
Coca-Cola HBC AG,CH0198251305,Well-below 2C,Switzerland,Europe,Food and Beverage Processing,Targets Set,Jan 2016,"Coca-Cola anchor bottler Coca-Cola Hellenic Bottling Company AG’s target commits to reduce Scope 1 and 2 emissions 50% per liter of produced beverage from 2010 – 2020 and reduce total value chain emissions (Scope 1, 2, and 3) 25% per liter of produced beverage over the same period. Read the Coca-Cola HBC Case Study.

&nbsp;"
Colgate Palmolive Company,US1941621039,2C,United States of America (USA),North America,Consumer Products and Durables,Targets Set,May 2017,"Worldwide consumer products company Colgate-Palmolive Company commits to reduce absolute Scope 1 and 2 greenhouse gas emissions from manufacturing by 25% from 2002 to 2020, with a longer term goal of a 50% reduction by 2050. Colgate also commits, as a way to reduce our most significant Scope 3 greenhouse gas emissions, to promote water conservation awareness to 100% of our global consumers and reduce emissions associated with consumer behaviour by up to 5% from 2016 to 2022, and increase the recycled content of our packaging to 50% by 2020."
Constantia Flexibles International GmbH,,2C,Austria,Europe,Containers and Packaging,Targets Set,Sep 2018,"Flexible packaging producer Constantia Flexibles commits to reduce absolute scope 1, 2 and 3 GHG emissions 24 % by 2030 and 49% by 2050 from a 2015 base-year."
Coway Co Ltd,KR7021240007,,South Korea,Asia,Consumer Products and Durables,Committed,Dec 2015,
Credit Agricole,FR0000045072,,France,Europe,"Banks, Diverse Financials and Insurance",Committed,May 2016,
CTT - Correios de Portugal SA,PTCTT0AM0001,Well-below 2C,Portugal,Europe,Aerospace and Defense,Targets Set,Sep 2017,"National postal service of Portugal CTT- Correios de Portugal commits to reduce scope 1, 2 and 3 GHG emissions per letter and parcel delivery 20% by 2025, using a 2013 base year. CTT-  Correios de Portugal also commits to reduce absolute scope 1, 2 and 3 emissions 30% by 2025, using a 2013 base year."
CVS Health,US1266501006,2C,United States of America (USA),North America,Food and Staples Retailing,Targets Set,Oct 2018,American retail pharmacy and health care company CVS Health commits to reduce absolute scope 1 and 2 GHG emissions 36% by 2030 from a 2010 base-year. CVS Health also commits that 70% of its suppliers by emissions will set science-based emissions reduction targets on their scope 1 and 2 emissions by 2023.
"Dai Nippon Printing Co., Ltd.",JP3493800001,2C,Japan,Asia,Commercial services and supplies,Targets Set,Jul 2018,"Dai Nippon Printing commits to reduce Scope 1 and 2 GHG emissions 25% by FY2030 from a FY2015 base-year. The company also commits to engage with key suppliers representing 90% of purchase value, to ensure these will have SBTs in place by FY 2025."
"Daiichi Sankyo Co., Ltd.",JP3475350009,2C,Japan,Asia,Pharmaceuticals and Biotech,Targets Set,Sep 2016,Japanese pharmaceutical company Daiichi Sankyo commits to reduce GHG emissions from operations 27 percent by fiscal year 2030 from fiscal year 2015 levels. Daiichi Sankyo also commits that 90% of key suppliers by purchase value will institute GHG reduction targets by fiscal year 2020.
Danone,FR0000120644,2C,France,Europe,Food and Beverage Processing,Targets Set,Nov 2017,"Multi-national food company, Danone commits to reduce scope 1 and 2 GHG emissions 30 percent by 2030, from a 2015 base year. Danone also commits to reduce scope 1, 2 and 3 emissions per ton of sold product 50% by 2030, from a 2015 base year. Danone will adjust its science-based targets a full calendar year after the recently-acquired White Wave company has been fully integrated into Danone’s inventory boundaries."
Dell Technologies,US24703L1035,Well-below 2C,United States of America (USA),North America,Technology Hardware and Equipment,Targets Set,Oct 2015,"Multinational computer technology company Dell Technologies commits to reduce its scope 1 and 2 absolute emissions 40% by 2020 from a 2010 base-year. The company also commits to reduce the energy intensity of their product portfolio 80% by 2020, using a 2011 base-year.  Read the Dell Case Study."
Delta Electronics,TW0002308004,2C,"Taiwan, Province of China",Asia,Technology Hardware and Equipment,Targets Set,Dec 2017,"Delta Electronics commits to reduce Scope 1 and 2 GHG emissions 56.6% per million USD output value (a measurement of product sale price x production quantity) by 2025 from a 2014 base year. Delta also commits to increase the average efficiency of server power supplies in the use of its sold products 1.6% by 2022 from a 2016 base year, which equates to reducing absolute GHG emissions in scope 3 by over 20%."
Dentsu Inc.,JP3551520004,2C,Japan,Asia,Media,Targets Set,Aug 2017,"Japanese international advertising, public relations, stockholding company Dentsu Inc. commits to reduce absolute scope 1 and 2 GHG emissions 24% by 2030 from a 2014 base-year. To address scope 3 emissions, Dentsu Inc also commits to reduce business-travel GHG emissions per employee by 25 percent between 2015 and 2050."
Deutsche Bahn AG,DE0005140008,,Germany,Europe,Ground Transportation - Railroads,Committed,Mar 2017,
Deutsche Post DHL Group,DE0005552004,,Germany,Europe,Air Freight Transportation and Logistics,Committed,Mar 2017,
Diab International AB,,1.5C,Sweden,Europe,Building Products,Targets Set,Oct 2018,"International producer of plastic foam core materials, Diab international commits to reduce absolute Scopes 1 and 2 emissions 35%  by 2022 and 80% by 2050, from a 2016 base-year. Diab also commits to reduce absolute scope 3 emission 12% by 2022 and 49% by 2050 from the same base-year."
Diageo Plc,GB0002374006,Well-below 2C,United Kingdom (UK),Europe,Food and Beverage Processing,Targets Set,Oct 2016,"Multinational alcoholic beverages company Diageo plc commits to reduce absolute scope 1 and scope 2 emissions by 50% by 2020 from a 2007 base-year. Also, the Company commits to reduce its GHG emissions across the total supply chain of its products by 30% within the same timeframe."
EDP - Energias de Portugal S.A.,PTEDP0AM0009,Well-below 2C,Portugal,Europe,Electric Utilities and Energy Related,Targets Set,Feb 2017,"Portugal electricity generator, distributor and supplier, EDP commits to reduce scopes 1 and 2 GHG emissions 75% per TWh by 2030 from a 2015 base year. EDP - Energias de Portugal S.A. commits to reduce absolute scope 3 GHG emissions 40% by 2030 from a 2015 base year."
Electrolux,SE0000103814,1.5C,Sweden,Europe,Consumer Products and Durables,Targets Set,Apr 2018,"Swedish multinational home appliance manufacturer Electrolux commits to reduce its absolute scope 1 and 2 GHG emissions by 80% between 2015 and 2025. It also commits to reduce the absolute scope 3 emissions from the use of sold products by 25% during the same time frame, covering three-quarters of all products sold by Electrolux."
Elisa Corporation,FI0009007884,1.5C,Finland,Europe,Telecommunications,Targets Set,Apr 2017,Finnish telecommunications company Elisa Corporation commits to reduce absolute Scope 1 and 2 emissions 50% by 2025 from a 2016 base-year. Elisa Corporation also commits to reduce absolute Scope 3 emissions 12% over the same time-period.
Empresa Energía de Bogotá,COE01PA00026,,Colombia,Latin America,Electric Utilities and Energy Related,Committed,Apr 2017,
Eneco,,Well-below 2C,Netherlands,Europe,Electric Utilities and Energy Related,Targets Set,Mar 2017,"Dutch natural gas, electricity and heat producer and supplier Eneco commits to reducing GHG emissions per GWh from electricity consumed by its customers 25% by 2020 from a 2012 base year. Eneco also commits to reducing GHG emissions per household from the natural gas and district heating consumed by its private customers 16% by 2020 from a 2012 base year. Finally, Eneco commits to reducing GHG emissions per GWh of electricity used for employee operations 50% by 2020 from a 2012 base year"
Enel SpA,IT0003128367,Well-below 2C,Italy,Europe,Electric Utilities and Energy Related,Targets Set,Sep 2019,"Multinational  energy company Enel commits to reduce scope 1 GHG emissions 70% per kWh by 2030 from a 2017 base year, limiting them to 125 gCO2/kWheq, and achieve full decarbonization by 2050. Enel SpA also commits to reduce absolute scope 3 GHG emissions for the use of sold products 16% by 2030 from a 2017 base year"
Toitū Envirocare,,1.5C,New Zealand,Oceania,Professional Services,Targets Set,Nov 2018,Environmental certifications company Toitū Envirocare (formerly Enviro-Mark Solutions Limited) commits to reduce absolute scope 1 and 2 GHG emissions 74% by 2030 from a 2017 base-year. Enviro-Mark Solutions Limited also commits to reduce absolute scope 3 emissions from business travel and employee commuting 57% by 2030 from a 2017 base-year.
Ericsson Group,SE0000108656,1.5C,Sweden,Europe,Technology Hardware and Equipment,Targets Set,Feb 2018,"Multinational networking and telecommunications company Ericsson commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2022 from a 2016 base year. Within the same timeframe, Ericsson also commits to a 35% reduction in the scope 3 emissions from business travel and upstream and downstream transportation, and to a 35% reduction in the energy consumption of comparable sold products in 2016."
EVRY ASA,NO0010019649,Well-below 2C,Norway,Europe,Software and Services,Targets Set,Sep 2017,"Norwegian information technology company, EVRY ASA commits to reduce absolute Scope 1 and 2 emissions and emissions from business travel 75% by 2030, from a 2011 base‐year. This will set the company on the path to accomplish a 90% reduction by 2050 from the same base‐year. In addition, EVRY ASA commits to reduce absolute emissions from employee commuting 66% by 2050 from a 2016 base-year."
Farmer Bros. Co,US3076751086,1.5C,United States of America (USA),North America,Food and Beverage Processing,Targets Set,Aug 2019,"American coffee foodservice company Farmer Bros. Co. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2025 from a 2018 base year. Farmer Bros. Co. also commits to reduce absolute scope 3 GHG emissions 18% by 2025 from a 2018 base year. 

*The target boundary includes biogenic emissions and removals from bioenergy feedstocks"
Ferrovial,ES0118900010,2C,Spain,Europe,Construction and Engineering,Targets Set,Jul 2017,"Spanish multinational company involved in design, construction, financing, transport and services infrastructure Ferrovial commits to reduce scope 1 and 2 absolute emissions 32% by 2030 from a 2009 base-year, this is equivalent to reduce emissions by 42.9% per million € of turnover. The company also commits to reduce scope 3 emissions (excluding capital goods and purchased goods &amp; services) 20% by 2030 from a 2012 base-year."
FIRMENICH SA,,1.5C,Switzerland,Europe,Consumer Products and Durables,Targets Set,Sep 2018,Fragrance &amp; flavor company Firmenich SA commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year. Firmenich SA also commits to reduce absolute scope 3 GHG emissions from purchased goods and services (raw material suppliers) 20% by 2030 from a 2017 base year.
Fubon Financial Holdings,TW0002881000,,"Taiwan, Province of China",Asia,"Banks, Diverse Financials and Insurance",Committed,Dec 2016,
Fujitsu Limited,JP3818000006,2C,Japan,Asia,Software and Services,Targets Set,Aug 2017,"Japanese multinational information technology company Fujitsu commits to reduce absolute scope 1 and 2 GHG emissions 33% by 2030 and 80% by 2050, from a 2013 base-year. Fujitsu also commits to reduce scope 3 GHG emissions 30% by 2030 from a 2013 base year. The scope 3 reductions cover purchased goods and services and the use of sold products."
Naturgy Energy Group SA.,ES0116870314,,Spain,Europe,Gas Utilities,Committed,Oct 2015,
Geberit AG,CH0030170408,,Switzerland,Europe,Construction Materials,Committed,Apr 2017,
Gecina,FR0010040865,Well-below 2C,France,Europe,Real Estate,Targets Set,Oct 2017,"Real estate investment trust, Gecina commits to reduce GHG emissions 48% per square meter by 2030, from a 2014 base-year (scope 1, scope 2 and scope 3 emissions from downstream leased assets)."
General Mills Inc.,US3703341046,2C,United States of America (USA),North America,Food and Beverage Processing,Targets Set,Sep 2015,"Multinational manufacturer and marketer of branded consumer foods General Mills commits to reduce absolute emissions 28% across their entire value chain (scopes 1, 2 and 3), from farm to fork to landfill by 2025, using a 2010 base-year. The Scope 3 reductions cover total GHG emissions across all relevant categories with a focus on purchased goods and services (dairy, row crops, and packaging) and delivery and distribution."
Gestamp,ES0105223004,,Spain,Europe,Automobiles and Components,Committed,Sep 2015,
Givaudan SA,CH0010645932,1.5C,Switzerland,Europe,Consumer Products and Durables,Targets Set,Sep 2017,Swiss manufacturer Givaudan commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2015 base year. Givaudan also has a goal to reduce absolute scope 3 GHG emissions by 20% over the same time period.
GlaxoSmithKline,GB0009252882,2C,United Kingdom (UK),Europe,Pharmaceuticals and Biotech,Targets Set,Aug 2019,British multinational pharmaceutical company GSK commits to reduce absolute scope 1 and 2 GHG emissions 10% by 2025 from a 2017 base year. GSK also commits to reduce absolute scope 3 GHG emissions 16% by 2030 from a 2017 base year.
Groupe SEB,FR0000121709,Well-below 2C,France,Europe,Consumer Products and Durables,Targets Set,Mar 2019,French small appliance consumer Groupe SEB commits to reduce scope 1 and 2 GHG emissions 40% per product by 2023 and 60% by 2030 from a 2016 base-year. Groupe SEB also commits to reduce scope 3 GHG emissions 40% per product by 2030 from a 2016 base-year.
Grupo Financiero Banorte SAB de CV,MXP370711014,,Mexico,Latin America,"Banks, Diverse Financials and Insurance",Committed,Oct 2016,
Grupo Logista,ES0105027009,,Spain,Europe,Aerospace and Defense,Committed,Apr 2016,
Hewlett Packard Enterprise Company,US42824C1099,1.5C,United States of America (USA),North America,Technology Hardware and Equipment,Targets Set,Aug 2019,"Multinational enterprise information technology company Hewlett Packard Enterprise commits to reduce absolute scope 1 and 2 GHG emissions by 55% by 2025 from 2016 base year. Hewlett Packard Enterprise also commits to reduce absolute scope 3 GHG emissions 15% by 2025 from 2016 base year. In addition, the company commits to increasing the energy performance of its product portfolio 30x within the same time-frame, which equates to reducing the greenhouse gas emissions per operation by over 95 percent. HPE commits that its manufacturing suppliers covering 80% of spend will set science-based targets by 2025"
Hitachi Construction Machinery Co. LTD,JP3787000003,2C,Japan,Asia,Electrical Equipment and Machinery,Targets Set,May 2019,Japanese construction equipment company Hitachi Construction Machinery commits to reduce absolute scope 1 and 2 GHG emissions 45% by 2030 from a 2010 base year. Hitachi Construction Machinery also commits to reduce absolute scope 3 GHG emissions from use of sold products 33% by 2030 from a 2010 base year.
"Host Hotels & Resorts, Inc.",US44107P1049,Well-below 2C,United States of America (USA),North America,Real Estate,Targets Set,Jun 2016,American real estate investment trust Host Hotels &amp; Resorts commits to reducing their scope 1 + 2 emissions on an emissions per square foot basis 28% by 2020 from a 2008 base-year.
HP Inc,US40434L1052,1.5C,United States of America (USA),North America,Technology Hardware and Equipment,Targets Set,Jul 2017,"American multinational information technology company HP Inc. commits to reduce scope 1 and 2 GHG emissions 60% by 2025, using a 2015 base year. HP Inc commits to reduce product use GHG emissions intensity (lifetime use emissions per unit shipped), including emissions resulting from both HP products’ energy use and paper use, 30% by 2025 from a 2015 base year. This includes a commitment to reduce product use GHG emissions intensity for energy use 30% by 2025 from a 2015 base year. HP further commits to reduce the scope 3 emissions intensity from first-tier production and product transportation suppliers (emissions per million US$ revenue) 10% by 2025, using a 2015 base year."
HSBC Holdings plc,GB0005405286,,United Kingdom (UK),Europe,"Banks, Diverse Financials and Insurance",Committed,Jun 2016,
HUBER+SUHNER Group,CH0030380734,1.5C,Switzerland,Europe,Electrical Equipment and Machinery,Targets Set,Dec 2017,"Global provider of components and system solutions for electrical and optical connectivity HUBER+SUHNER Group commits to reduce scope 1 and 2 GHG emissions 50% per added value by 2025 from a 2015 base year. HUBER+SUHNER Group also commits to reduce scope 3 GHG emissions per added value 30% by 2025 from a 2015 base year

&nbsp;"
Husqvarna AB,SE0001662230,2C,Sweden,Europe,Consumer Products and Durables,Targets Set,Feb 2017,"Manufacturer of outdoor power products Husqvarna Group AB commits to reduce scope 1 and scope 2 emissions 30% per unit of value added by 2020 from a 2015 base-year. In addition, the company commits to reduce scope 3 emissions 10% per unit of value added within the same timeframe (purchased goods and services, transportation, and product use emissions). This is a milestone in the long-term goal to reduce absolute scope 3 emissions from the use of their products 33% by 2035 from a 2015 base-year."
Iberdrola SA,ES0144580Y14,2C,Spain,Europe,Electric Utilities and Energy Related,Targets Set,Mar 2019,"Spanish public multinational electric utility company Iberdrola commits to reduce absolute scope 1, 2 and 3 GHG emissions 20% by 2030 from a 2017 base year."
ICA Gruppen,SE0000652216,Well-below 2C,Sweden,Europe,Food and Staples Retailing,Targets Set,Sep 2018,"ICA Group commits to reduce scopes 1, 2 and 3 GHG emissions 70% per square meter by 2025 from a 2006 base-year. The target includes Scope 3 emissions from franchises, downstream transportation and business travel. ICA Group also commits that suppliers covering 70% scope 3 emissions will set science-based targets by 2025"
Ingka Group (largest IKEA retailer),,1.5C,Sweden,Europe,Consumer Products and Durables,Targets Set,Jun 2018,"Largest IKEA retailer Ingka Group commits to reduce absolute scope 1 and 2 GHG emissions 80% by financial year 2030, from financial year 2016. For scope 3, IKEA Group also commits to reduce GHG emissions from customer and co-worker travel and customer deliveries by 50% in relative terms. Inter IKEA Group, which is responsible for developing the IKEA range and supply chain, commits to reduce emissions relating to home furnishing products and food by at least 15% in absolute terms for the same period."
Inditex,ES0148396007,,Spain,Europe,Retailing,Committed,Jul 2016,
Infigen Energy,AU000000IFN8,,Australia,Oceania,Electric Utilities and Energy Related,Committed,Sep 2015,
ING Group,NL0011821202,,Netherlands,Europe,"Banks, Diverse Financials and Insurance",Committed,Jun 2015,
Ingersoll-Rand Co. Ltd.,IE00B6330302,Well-below 2C,Ireland,Europe,Electrical Equipment and Machinery,Targets Set,Oct 2016,"Global diversified industrial company Ingersoll Rand commits to reduce scope 1 and 2 emissions (on a per unit revenue basis) 35% by 2020, from 2013 levels. This will result in cumulative reductions of 300,000 metric tonnes CO2e. Ingersoll Rand further commits to reduce the refrigerant footprint of its products 50% over the same period, resulting in reductions of 20,000,000 metric tonnes CO2e."
International Post Corporation (IPC),,2C,Belgium,Europe,Air Freight Transportation and Logistics,Targets Set,Feb 2016,"IPC, a global cooperative association of 24 member postal operators, commits to reduce emissions 20% per letter and parcel delivery by 2025, from a 2013 base-year (scopes 1, 2 and 3). IPC recommends that its member postal operators submit their individual targets to SBT for official quality checks. Read the IPC Case Study."
Investa,,1.5C,Australia,Oceania,Real Estate,Targets Set,Jan 2019,"Australian commercial real estate manager, Investa, commits to reduce absolute scope 1 and 2 GHG emissions 60% per square meter of net lettable area by 2030 and 100% by 2040 from a 2015 base-year. Investa also commits to reduce scope 3 GHG emissions 26 % per net lettable area by 2030 and 42% by 2040 from a 2015 base-year."
ISG plc,GB0002925955,,United Kingdom (UK),Europe,Construction and Engineering,Committed,Apr 2017,
KAO Corporation,JP3205800000,2C,Japan,Asia,Consumer Products and Durables,Targets Set,Jul 2019,"Japanese personal products company Kao commits to reduce absolute scope 1, 2, and 3 GHG emissions 22% by 2030 from a 2017 base year. *

 * Scope 3 target covers purchased goods and services, upstream transportation and distribution, end of life"
"Kawasaki Kisen Kaisha, Ltd.",JP3223800008,2C,Japan,Asia,Water Transportation,Targets Set,Feb 2017,Japanese transportation companies Kawasaki Kisen Kaisha (K Line) commits to reduce the scope 1 emissions of ocean-going ships 25% per ton mile by 2030 from a 2011 base-year. This is a milestone target toward K Line’s long-term target to reduce the same emissions 50% per ton mile by 2050 from a 2011 base year.
