Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ North,Beta,Dividend yield,P/E
 CVS Health Corp ,0.72,0.0,1.0,United States of America (USA),na,CVS,na,0.766208,2.43,12.265748
 CyrusOne Inc ,0.07,0.0,0.0,na,CONE,na,na,0.354289,3.05,202.08333000000002
 Deere & Co ,0.32,0.0,0.0,na,na,DE,na,1.034053,2.19,13.515649
 Delta Air Lines Inc ,0.55,0.0,0.0,na,na,DAL,na,1.5900450000000002,1.88,4.127072
 DENTSPLY SIRONA Inc ,0.21,0.0,0.0,na,XRAY,na,na,1.08055,0.62,33.598293
 Diageo PLC ,0.86,0.0,1.0,United Kingdom (UK),na,DEO,na,0.28996900000000003,2.6,20.777639999999998
 Dollar General Corp ,0.16,0.0,0.0,na,na,DG,na,0.379829,1.04,26.503012
 Dover Corp ,0.19,1.0,0.0,na,na,DOV,na,1.465618,2.21,17.837255
 DSV PANALPINA A/S ,0.29,0.0,1.0,Denmark,na,na,DSV.CO,0.832218,0.46,35.869564000000004
 East West Bancorp Inc ,0.12,0.0,0.0,na,EWBC,na,na,1.8650939999999998,1.85,6.762413499999999
 Eastman Chemical Co ,0.31,0.0,0.0,na,na,EMN,na,1.483955,2.62,10.45073
 Ecolab Inc ,0.71,1.0,1.0,United States of America (USA),na,ECL,na,0.842174,1.1,33.786118
 Edison International ,0.21,0.0,0.0,na,na,EIX,na,0.53569,3.14,15.716181
 Electrolux AB ,0.67,1.0,1.0,Sweden,na,na,ELUX-B.ST,1.339817,2.97,14.627966
 Eli Lilly & Co ,0.3,0.0,0.0,na,na,LLY,na,0.167648,2.38,26.993042
 Elisa OYJ ,0.37,0.0,1.0,Finland,na,na,ELISA.HE,0.182978,4.23,28.69877
 Emerson Electric Co ,0.25,1.0,0.0,na,na,EMR,na,1.499672,3.2,15.350826999999999
 Encompass Health Corp ,0.12,0.0,0.0,na,na,EHC,na,0.961362,1.92,18.861181
 Enel Americas SA ,0.81,0.0,0.0,na,na,ENIA,na,0.7962739999999999,3.63,6.167999999999999
 EnerSys ,0.1,0.0,0.0,na,na,ENS,na,1.586771,1.04,14.763079000000001
 Eni SpA ,0.44,0.0,0.0,na,na,E,na,0.91003,6.07,4.8491383
 Entergy Corp ,0.75,0.0,0.0,na,na,ETR,na,0.6470199999999999,4.22,15.480951000000001
 Equinor ASA ,0.47,0.0,0.0,na,na,EQNR,na,0.787841,5.01,23.072725
 Equity LifeStyle Properties Inc ,0.08,0.0,0.0,na,na,ELS,na,0.502292,2.15,47.210938
 Equity Residential ,0.27,0.0,0.0,na,na,EQR,na,0.646365,3.04,24.63997
 Everest Re Group Ltd ,0.14,0.0,0.0,na,na,RE,na,0.610347,2.2,6.9153843
 Eversource Energy ,0.3,0.0,0.0,na,na,ES,na,0.406024,3.03,30.807829
 Exelon Corp ,0.78,0.0,0.0,na,EXC,na,na,0.515389,3.46,12.159467999999999
 Extra Space Storage Inc ,0.07,0.0,0.0,na,na,EXR,na,0.328749,3.34,27.477589000000002
 Exxon Mobil Corp ,0.37,0.0,0.0,na,na,XOM,na,1.269155,4.02,13.022633
 Fabege AB ,0.27,0.0,1.0,Sweden,na,na,FABG.ST,0.5392089999999999,2.21,5.849861
 Fastenal Co ,0.14,0.0,0.0,na,FAST,na,na,1.122462,2.64,25.920862
 Fidelity National Information Services Inc ,0.15,0.0,0.0,na,na,FIS,na,0.685658,1.28,190.5
 First Financial Bankshares Inc ,0.11,0.0,0.0,na,FFNW,FCF,na,0.618205,1.83,8.582524000000001
 FirstEnergy Corp ,0.33,0.0,0.0,na,na,FE,na,0.506876,4.1,34.211803
 Flowserve Corp ,0.23,0.0,0.0,na,na,FLS,na,1.8965290000000001,1.65,13.227979999999999
 FMC Corp ,0.3,0.0,0.0,na,na,FMC,na,1.2973139999999999,1.24,24.364641
 Fortis Inc/Canada ,0.24,0.0,0.0,na,na,FTS,na,0.14119600000000002,3.33,22.022017
 Fortum OYJ ,0.38,0.0,1.0,Finland,na,na,FORTUM.HE,0.966565,6.68,8.908873
 Fortune Brands Home & Security Inc ,0.19,0.0,0.0,na,na,FBHS,na,1.696791,1.28,14.287582
 Franco-Nevada Corp ,0.37,0.0,0.0,na,na,FNV,na,0.264119,1.32,74.45355
 Fulton Financial Corp ,0.13,0.0,0.0,na,FULT,na,na,1.132285,2.7,8.857868
 Gaming and Leisure Properties Inc ,0.06,0.0,0.0,na,GLPI,na,na,1.067452,6.97,13.81005
 Garmin Ltd ,0.13,0.0,0.0,na,GRMN,na,na,1.0419120000000002,3.72,15.815632
 General Electric Co ,0.29,0.0,0.0,na,na,POR,na,0.440078,2.95,18.706167
 General Motors Co ,0.76,0.0,0.0,na,na,GM,na,1.510805,4.23,4.803063400000001
 Gentex Corp ,0.16,0.0,0.0,na,GNTX,na,na,1.184675,1.91,14.562462
 Genuine Parts Co ,0.15,0.0,0.0,na,na,GPC,na,1.0419120000000002,2.87,17.695755
 Gerdau SA ,0.1,0.0,0.0,na,na,GGB,na,2.086008,1.56,23.493976999999997
 GlaxoSmithKline PLC ,0.9,0.0,1.0,United Kingdom (UK),na,GSK,na,0.412158,5.32,42.842743
 Gold Fields Ltd ,0.79,0.0,0.0,na,na,GFI,na,0.125644,1.3,42.94737
 Goldman Sachs Group Inc ,0.39,0.0,0.0,na,na,GSBD,na,1.318925,8.16,16.577479999999998
 Graco Inc ,0.11,0.0,0.0,na,na,GGG,na,0.7681720000000001,1.37,23.361256
 Graphic Packaging Holding Co ,0.2,1.0,0.0,na,na,GPK,na,1.35036,1.81,27.751606
 Grupo Aval Acciones y Valores SA ,0.07,0.0,0.0,na,na,AVAL,na,0.638129,5.57,5.3289475
 Hanesbrands Inc ,0.23,0.0,0.0,na,na,HBI,na,1.407334,2.67,5.1463413000000005
 Healthcare Services Group Inc ,0.08,0.0,0.0,na,HCSG,AMN,na,0.6280279999999999,2.07,23.32677
 Hennes & Mauritz AB ,0.69,0.0,1.0,Sweden,na,na,HM-B.ST,1.1209719999999999,4.74,14.172915
 Hexcel Corp ,0.18,0.0,0.0,na,na,HXL,na,1.499672,0.8200000000000001,8.738795
 HollyFrontier Corp ,0.22,0.0,0.0,na,na,HFC,na,1.593975,3.38,6.1952276
 Honda Motor Co Ltd ,0.8,0.0,0.0,na,na,HMC,na,1.103343,3.0,3.9230237
 Hormel Foods Corp ,0.34,0.0,0.0,na,na,HRL,na,-0.07923999999999999,1.76,25.751382999999997
 HP Inc ,0.86,1.0,1.0,United States of America (USA),na,HPQ,na,1.3542889999999999,3.14,7.4183974
 Hubbell Inc ,0.11,0.0,0.0,na,na,HUBB,na,1.395546,2.43,16.337892999999998
 Hudson Pacific Properties Inc ,0.14,0.0,0.0,na,na,HPP,na,0.977734,2.6,80.58182
 Humana Inc ,0.62,0.0,0.0,na,na,HUM,na,0.78258,0.64,18.362686
 Huntington Ingalls Industries Inc ,0.16,0.0,0.0,na,na,HII,na,1.225278,1.28,13.914026999999999
 Huntsman Corp ,0.2,0.0,0.0,na,na,HUN,na,2.194499,2.78,6.4899297
 Husqvarna AB ,0.28,0.0,1.0,Sweden,na,na,HUSQ-B.ST,1.136778,2.4,14.853294
 ICA Gruppen AB ,0.66,0.0,1.0,Sweden,na,na,ICA.ST,0.069908,3.31,26.761222999999998
 IDEX Corp ,0.13,0.0,0.0,na,na,IEX,na,1.089063,1.32,28.02202
 Illinois Tool Works Inc ,0.31,0.0,0.0,na,na,ITW,na,1.1781270000000001,2.17,20.443153
 Infosys Ltd ,0.71,0.0,0.0,na,na,INFY,na,0.157748,2.55,16.014626
 Ingredion Inc ,0.17,0.0,0.0,na,na,INGR,na,0.8055,2.08,13.143556
 Intel Corp ,0.39,1.0,0.0,na,INTC,na,na,0.829731,2.66,11.488949
 Interactive Brokers Group Inc ,0.11,0.0,0.0,na,IBKR,na,na,0.7544200000000001,0.9,24.002485
 Intercontinental Exchange Inc ,0.3,0.0,0.0,na,na,ICE,na,0.502292,1.18,25.999998
 InterContinental Hotels Group PLC ,0.77,0.0,1.0,United Kingdom (UK),na,IHG,na,1.006686,1.96,20.03346
 International Business Machines Corp ,0.46,0.0,0.0,na,na,IBM,na,1.2685,3.95,12.35463
 Intuit Inc ,0.27,0.0,1.0,United States of America (USA),INTU,na,na,0.9973799999999999,0.91,42.663433000000005
 Invesco Ltd ,0.29,0.0,0.0,na,na,IVZ,na,1.777996,4.59,7.550822999999999
 Iron Mountain Inc ,0.52,0.0,1.0,United States of America (USA),na,IRM,na,0.795022,6.47,25.301075
 Israel Chemicals Ltd ,0.32,0.0,0.0,na,na,ICL,na,0.494649,3.94,9.675675
 ITT Inc ,0.2,0.0,0.0,na,na,ITT,na,1.636542,1.12,13.483238
 Jack Henry & Associates Inc ,0.12,0.0,0.0,na,JKHY,na,na,0.633922,1.16,43.496445
 James Hardie Industries PLC ,0.15,0.0,0.0,na,na,JHX,na,0.92158,2.51,21.801126
 Jefferies Financial Group Inc ,0.19,0.0,0.0,na,na,JEF,na,1.639816,1.66,3.7205748999999995
 Johnson Controls International plc ,0.67,1.0,1.0,Ireland,na,JCI,na,1.258677,2.77,4.2610683
 Jones Lang LaSalle Inc ,0.57,0.0,0.0,na,na,JLL,na,1.908316,0.51,9.427783
 KAR Auction Services Inc ,0.08,0.0,0.0,na,na,KAR,na,0.878192,3.17,9.515108999999999
 Kellogg Co ,0.74,0.0,1.0,United States of America (USA),na,K,na,0.5612309999999999,3.16,22.892857
 Kemper Corp ,0.1,0.0,0.0,na,na,KMPR,na,0.919449,1.96,8.243719
 Kennametal Inc ,0.13,0.0,0.0,na,na,KMT,na,2.26588,2.46,14.856414
 Kimberly-Clark Corp ,0.31,1.0,1.0,United States of America (USA),na,KMB,na,0.48461,3.13,20.680292
 KLA Corp ,0.22,0.0,0.0,na,KLAC,na,na,1.40537,2.58,23.136925
 Kone OYJ ,0.46,1.0,1.0,Finland,na,na,KNEBV.HE,0.612158,3.39,30.523321000000003
 Koninklijke Philips NV ,0.82,1.0,0.0,na,na,PHG,na,0.931306,2.68,27.341772
 Lam Research Corp ,0.33,0.0,0.0,na,LRCX,na,na,1.51015,1.46,19.193178
 Las Vegas Sands Corp ,0.63,0.0,1.0,United States of America (USA),na,LVS,na,1.7053040000000002,4.97,15.908429
 Lazard Ltd ,0.21,0.0,0.0,na,na,LAZ,na,1.842829,3.84,9.889299000000001
 Lear Corp ,0.21,0.0,0.0,na,na,LEA,na,1.622789,1.41,6.941176400000001
 Leggett & Platt Inc ,0.11,0.0,0.0,na,na,LEG,na,1.45907,3.16,12.097164999999999
 Lincoln Electric Holdings Inc ,0.21,0.0,0.0,na,LECO,na,na,1.250818,1.87,16.245728
 Lincoln National Corp ,0.57,0.0,0.0,na,na,LNC,na,2.134905,1.98,6.897259700000001
 Linde PLC ,0.86,0.0,1.0,United Kingdom (UK),na,LIN,na,0.750491,2.21,43.341297
 Link REIT ,0.48,0.0,0.0,na,na,WSR,na,1.544204,8.94,9.23345
 Lloyds Banking Group PLC ,0.43,0.0,0.0,na,na,LYG,na,1.122796,4.33,4.8
 Lockheed Martin Corp ,0.7,0.0,0.0,na,na,LMT,na,0.959397,2.59,17.324045
 Loews Corp ,0.16,0.0,0.0,na,na,L,na,0.901768,0.56,10.553746
 LyondellBasell Industries NV ,0.26,0.0,0.0,na,na,LYB,na,1.5677789999999998,4.01,5.224426
 ManpowerGroup Inc ,0.62,0.0,0.0,na,na,MAN,na,1.8382439999999998,2.04,9.940717999999999
 Manulife Financial Corp ,0.53,0.0,0.0,na,na,MFC,na,1.3413620000000002,3.63,12.361261
 Marathon Oil Corp ,0.32,0.0,0.0,na,na,MRO,na,2.862475,2.18,8.355932000000001
 Marathon Petroleum Corp ,0.45,0.0,0.0,na,na,MPC,na,2.079895,2.93,6.488665
 Marriott Vacations Worldwide Corp ,0.14,0.0,0.0,na,na,VAC,na,2.18795,1.5,24.119741
 Marsh & McLennan Cos Inc ,0.21,0.0,0.0,na,na,MMC,na,0.845448,1.85,27.357770000000002
 Martin Marietta Materials Inc ,0.16,0.0,0.0,na,na,MLM,na,1.074656,0.89,18.20842
 Marvell Technology Group Ltd ,0.12,0.0,0.0,na,MRVL,na,na,0.949574,1.55,11.594017
 Masco Corp ,0.23,0.0,0.0,na,na,MAS,na,1.4341840000000001,1.18,12.4070635
 Mastercard Inc ,0.58,0.0,1.0,United States of America (USA),na,MA,na,1.072691,0.59,32.589420000000004
 Maxim Integrated Products Inc ,0.27,0.0,0.0,na,MXIM,na,na,1.364767,3.06,18.838188
 Medical Properties Trust Inc ,0.05,0.0,0.0,na,na,MPW,na,0.780615,6.52,18.241379000000002
 Medtronic PLC ,0.67,0.0,0.0,na,na,MDT,na,0.703994,2.02,24.763092
 Melco Resorts & Entertainment Ltd ,0.2,0.0,0.0,na,MLCO,na,na,1.962671,1.64,19.521963
 Merck & Co Inc ,0.4,0.0,0.0,na,na,MRK,na,0.5638500000000001,2.99,21.372704000000002
 Methanex Corp ,0.24,0.0,0.0,na,MEOH,na,na,2.370431,2.88,13.550939000000001
 Metso OYJ ,0.31,1.0,1.0,Finland,na,na,METSO.HE,1.502127,3.84,11.415
 Microchip Technology Inc ,0.24,0.0,0.0,na,MCHP,na,na,1.479371,2.12,32.453503000000005
 Microsoft Corp ,0.57,0.0,1.0,United States of America (USA),MSFT,na,na,0.962017,1.97,30.40411
 Millicom International Cellular SA ,0.28,0.0,0.0,na,TIGO,na,TIGO SDB,0.946299,4.5,17.73252
 Mitsubishi UFJ Financial Group Inc ,0.49,0.0,0.0,na,na,MUFG,na,1.390881,3.07,4.476744
 Mizuho Financial Group Inc ,0.65,0.0,0.0,na,na,MFG,na,1.015197,3.95,5.157657599999999
 Mobile TeleSystems PJSC ,0.2,0.0,0.0,na,na,MBT,na,1.031434,9.81,67.76859
 Monolithic Power Systems Inc ,0.08,0.0,0.0,na,MPWR,na,na,1.220039,0.98,78.16806
 MSA Safety Inc ,0.09,0.0,0.0,na,na,MSA,na,1.13163,1.92,28.408046999999996
 MSC Industrial Direct Co Inc ,0.17,0.0,0.0,na,na,MSM,na,0.949574,2.65,11.823651
 MSCI Inc ,0.18,0.0,0.0,na,na,MSCI,na,0.984282,1.05,49.300457
 National Grid PLC ,0.44,0.0,1.0,United Kingdom (UK),na,NGG,na,0.169604,5.12,9.026398
 National Instruments Corp ,0.16,0.0,0.0,na,NATI,na,na,1.009168,2.3,30.885246000000002
 Neste Oyj ,0.83,0.0,1.0,Finland,na,na,NESTE.HE,0.5379929999999999,2.52,13.459091
 New York Times Co ,0.08,0.0,0.0,na,na,NYT,na,0.937131,0.9,36.867470000000004
 Newell Brands Inc ,0.13,0.0,0.0,na,NWL,na,na,1.1388340000000001,3.17,51.230156
 NewMarket Corp ,0.07,0.0,0.0,na,na,NEU,na,0.51015,1.57,16.59929
 Nexstar Media Group Inc ,0.09,0.0,0.0,na,NXST,na,na,1.853307,1.67,12.358333
 Norfolk Southern Corp ,0.33,0.0,0.0,na,na,NSC,na,1.392927,2.14,15.679155999999999
 Northrop Grumman Corp ,0.63,0.0,0.0,na,na,NOC,na,0.8336600000000001,1.52,25.666414000000003
 Novartis AG ,0.74,0.0,1.0,Switzerland,na,NVS,na,0.461398,3.31,17.602293
 Novo Nordisk A/S ,0.65,0.0,1.0,Denmark,na,NVO,NOVO-B.CO,0.41580500000000004,2.36,26.364746000000004
 Novozymes A/S ,0.42,0.0,1.0,Denmark,na,na,NZYM-B.CO,0.6534949999999999,1.32,28.891916
 Nu Skin Enterprises Inc ,0.13,0.0,0.0,na,na,NUS,na,0.8375900000000001,2.94,8.490323
 Nucor Corp ,0.13,0.0,0.0,na,na,NUE,na,1.5121149999999999,2.91,9.151764
 Nutrien Ltd ,0.53,0.0,0.0,na,na,NTR,na,0.7673669999999999,4.38,20.335293
 NVIDIA Corp ,0.72,0.0,0.0,na,NVDA,na,na,1.467583,0.62,64.06858000000001
 Open Text Corp ,0.13,0.0,0.0,na,OTEX,na,na,0.711853,1.53,30.512394
 Oracle Corp ,0.29,0.0,0.0,na,na,ORCL,na,0.903077,1.52,16.669811
 Orange SA ,0.43,0.0,1.0,France,na,ORAN,na,0.384802,4.6,13.9155245
 Oshkosh Corp ,0.77,0.0,0.0,na,na,OSK,na,1.7753759999999998,1.37,8.1070385
 Owens Corning ,0.9,0.0,1.0,United States of America (USA),na,OC,na,1.5507529999999998,1.41,10.081521
 PACCAR Inc ,0.28,0.0,0.0,na,PCAR,na,na,1.151931,1.62,11.08046
 Parker-Hannifin Corp ,0.27,1.0,0.0,na,na,PH,na,1.633267,1.88,12.834046
 Pembina Pipeline Corp ,0.28,0.0,0.0,na,na,PBA,na,1.7566439999999999,4.98,11.0256405
 Pentair PLC ,0.21,0.0,0.0,na,na,PNR,na,1.234446,2.2,15.189448
 Philip Morris International Inc ,0.69,0.0,1.0,United States of America (USA),na,PM,na,0.91552,4.76,15.004073000000002
 Phillips 66 ,0.18,0.0,0.0,na,na,PSXP,na,1.275703,4.61,10.083974000000001
 Pinnacle Financial Partners Inc ,0.14,0.0,0.0,na,PNFP,na,na,1.542239,0.97,8.076308000000001
 Pinnacle West Capital Corp ,0.33,0.0,0.0,na,na,PNW,na,0.38768800000000003,3.34,16.171907
 Pioneer Natural Resources Co ,0.26,0.0,0.0,na,na,PXD,na,1.705959,0.2,17.211111
 Polaris Inc ,0.15,0.0,0.0,na,na,PII,na,1.7413219999999998,2.41,12.178847
 Pool Corp ,0.09,0.0,0.0,na,POOL,na,na,0.7779959999999999,1.13,33.648544
 POSCO ,0.67,0.0,0.0,na,na,PKX,na,1.0138719999999999,3.63,3.9986089999999996
 PPL Corp ,0.3,0.0,0.0,na,na,PPL,na,0.8631300000000001,4.78,10.755275
 Principal Financial Group Inc ,0.3,0.0,1.0,United States of America (USA),PFG,na,na,1.664047,3.42,6.044355
 Procter & Gamble Co ,0.6,0.0,1.0,United States of America (USA),na,PG,na,0.394891,3.09,63.997845
 Provident Financial PLC ,0.61,0.0,0.0,na,PROV,PFS,na,0.8605100000000001,2.79,17.445356
 Public Service Enterprise Group Inc ,0.68,0.0,0.0,na,na,PEG,na,0.5389649999999999,3.49,15.426426999999999
